Brand,Name,Price,Milage,Engine Power
Kabira Mobility,Kabira Hermes 75,"Rs.89,600*",,
Kabira Mobility,Kabira Mobility Intercity Neo,"Rs.67,490*",,
Kabira Mobility,Kabira Mobility Kollegio Neo,"Rs.55,790*",,
Kabira Mobility,Advertisement,Advertisement,,
Kabira Mobility,Advertisement,Advertisement,,
Kabira Mobility,Kabira Mobility Intercity Aeolus,"Rs.71,490*",,
Kabira Mobility,Kabira Mobility Kollegio Plus,"Rs.65,490*",,
Kabira Mobility,Kabira Mobility Kollegio,"Rs.45,990*",,
Kabira Mobility,Kabira Mobility Aetos 100,"Rs.65,490*",,
One Electric Motorcycles,One Electric Motorcycles Kridn,Rs.1.35 Lakh*,,
Odysse Electric,Odysse Electric Evoqis,Rs.1.71 Lakh*,,
Odysse Electric,Odysse Electric V2,"Rs.77,250 - 1 Lakh*",,
Odysse Electric,Odysse Electric E2Go,"Rs.59,750 - 71,100*",,
Odysse Electric,Odysse Electric Racer,"Rs.85,000*",,
Odysse Electric,Odysse Electric Hawk,"Rs.99,400 - 1.18 Lakh*",,
Oben,Oben Rorr,Rs.1.03 Lakh*,,
Moto Morini,Moto Morini SEIEMMEZZO 6 ½,Rs.6.89 - 7.10 Lakh*,,55.7 PS
Moto Morini,Moto Morini X-Cape,Rs.7.20 - 7.50 Lakh*,,60.8 PS
Zontes,Zontes 350R,Rs.3.15 - 3.25 Lakh*,,38.52 PS
Zontes,Zontes GK350,Rs.3.37 - 3.47 Lakh*,31.25 kmpl,38.52 PS
Zontes,Zontes 350T,Rs.3.37 - 3.67 Lakh*,,39.3 PS
Zontes,Zontes 350X,Rs.3.35 - 3.45 Lakh*,,38.52 PS
